ITLAMPL01524R;LAMPADA FLUORESCENTE COMPACTA 15W T*  24V  COM REATOR INTEGRADO;LAMPADA FLUORESCENTE COMPACTA 15W T*  24V  COM REATOR INTEGRADO;COMPACT FLUORESCENT LAMP 15W T*  24V  WITH INTEGRATED BALLAST
ITLAMPL02000S;LAMPADA FLUORESCENTE COMPACTA 20W T*  .  SEM REATOR INTEGRADO;LAMPADA FLUORESCENTE COMPACTA 20W T*  .  SEM REATOR INTEGRADO;COMPACT FLUORESCENT LAMP 20W T*  .  WITHOUT INTEGRATED BALLAST
ITLAMPL02012R;LAMPADA FLUORESCENTE COMPACTA 20W T*  127V  COM REATOR INTEGRADO;LAMPADA FLUORESCENTE COMPACTA 20W T*  127V  COM REATOR INTEGRADO;COMPACT FLUORESCENT LAMP 20W T*  127V  WITH INTEGRATED BALLAST
ITLAMPL02022R;LAMPADA FLUORESCENTE COMPACTA 20W T*  220V  COM REATOR INTEGRADO;LAMPADA FLUORESCENTE COMPACTA 20W T*  220V  COM REATOR INTEGRADO;COMPACT FLUORESCENT LAMP 20W T*  220V  WITH INTEGRATED BALLAST
ITLAMPL02024R;LAMPADA FLUORESCENTE COMPACTA 20W T*  24V  COM REATOR INTEGRADO;LAMPADA FLUORESCENTE COMPACTA 20W T*  24V  COM REATOR INTEGRADO;COMPACT FLUORESCENT LAMP 20W T*  24V  WITH INTEGRATED BALLAST
ITLAMPL02300S;LAMPADA FLUORESCENTE COMPACTA 23W T*  .  SEM REATOR INTEGRADO;LAMPADA FLUORESCENTE COMPACTA 23W T*  .  SEM REATOR INTEGRADO;COMPACT FLUORESCENT LAMP 23W T*  .  WITHOUT INTEGRATED BALLAST
ITLAMPL02312R;LAMPADA FLUORESCENTE COMPACTA 23W T*  127V  COM REATOR INTEGRADO;LAMPADA FLUORESCENTE COMPACTA 23W T*  127V  COM REATOR INTEGRADO;COMPACT FLUORESCENT LAMP 23W T*  127V  WITH INTEGRATED BALLAST
ITLAMPL02322R;LAMPADA FLUORESCENTE COMPACTA 23W T*  220V  COM REATOR INTEGRADO;LAMPADA FLUORESCENTE COMPACTA 23W T*  220V  COM REATOR INTEGRADO;COMPACT FLUORESCENT LAMP 23W T*  220V  WITH INTEGRATED BALLAST
ITLAMPL02324R;LAMPADA FLUORESCENTE COMPACTA 23W T*  24V  COM REATOR INTEGRADO;LAMPADA FLUORESCENTE COMPACTA 23W T*  24V  COM REATOR INTEGRADO;COMPACT FLUORESCENT LAMP 23W T*  24V  WITH INTEGRATED BALLAST
ITLAMPL02600S;LAMPADA FLUORESCENTE COMPACTA 26W T*  .  SEM REATOR INTEGRADO;LAMPADA FLUORESCENTE COMPACTA 26W T*  .  SEM REATOR INTEGRADO;COMPACT FLUORESCENT LAMP 26W T*  .  WITHOUT INTEGRATED BALLAST
