243NN;200-250/380-415V 3P+T+N 6H;200-250/380-415V 3P+T+N 6H;200-250/380-415V 3P+T+N 6H
253TN;200/250V 3P+T 9H;200/250V 3P+T 9H;200/250V 3P+T 9H
413TN;380/415V 3P+T 6H;380/415V 3P+T 6H;380/415V 3P+T 6H
503TN;480/500V 3P+T 7H;480/500V 3P+T 7H;480/500V 3P+T 7H
693TN;600/690V 3P+T;600/690V 3P+T;600/690V 3P+T
